Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
EPD-A-5-10-S_S21_L002_R1_001_val_1	0	0	0	0	0	0	0	0	0.000112895	0.000338686	0.000790268	0.001580537	0.002145014	0.002709492	0.003161074	0.005080297	0.007563998	0.008805848	0.011628235	0.013660354	0.0174988	0.024611216	0.028336767	0.033417064	0.038497361	0.045045299	0.061302249	0.072140216	0.0800429	0.095509582	0.111766532	0.121249753	0.13208772	0.147780192	0.160876069	0.17160114	0.179052242	0.187745195	0.187180717	0.188083881	0.205243995	0.203663459	0.19587367	0.194180238	0.206485846	0.227823093	0.247579803	0.293076684	0.337783297	0.397730801	0.488272981	0.607829302	0.777398324	0.997996105	1.277976913	1.618469702	2.035392735	2.56284045	3.208038159	3.920973159	4.708757867	5.578391804	6.338855804	6.845192063	7.13770427	7.178120855	7.006068132	6.556518303	5.857695239	5.131099884	4.25965962	3.338432446	2.556518303	1.863001327	1.277525331	0.844571138	0.550817081	0.340379893	0.201970026	0.120911067	0.065027801	0.034546019	0.018853546	0.01049928	0.007789789	0.005193192	0.003725551	0.00349976	0.001806328	0.001580537	0.002370805	0.001806328	0.000790268	0.000677373	0.000677373	0.000451582	0.000338686	0.000338686	0.000112895	0.000225791	0.001467641
EPD-A-5-10-S_S21_L002_R2_001_val_2	0	0	0	0	0	0	0	0	0.000112841	0.000451364	0.000789887	0.00112841	0.002143978	0.002933865	0.003949434	0.005529207	0.007221822	0.008124549	0.008350231	0.012073983	0.018844441	0.02572774	0.029790014	0.034416494	0.042089679	0.04807025	0.053260935	0.062965257	0.083840836	0.103475163	0.111035508	0.124802105	0.140261317	0.150642686	0.159105758	0.17219531	0.186526112	0.190362705	0.195102025	0.198148731	0.206950326	0.214510671	0.209432827	0.205596235	0.21326942	0.233580794	0.266530355	0.307040261	0.366394607	0.421235315	0.487811483	0.636648714	0.813357662	1.01940526	1.297219712	1.631906008	2.059009053	2.579431575	3.206150284	3.936118474	4.726682261	5.527627417	6.232657754	6.763800168	7.069147814	7.134708413	6.96330299	6.489483786	5.828122902	5.089465958	4.187753822	3.311318061	2.545015081	1.863568505	1.30523142	0.861089389	0.558788449	0.34912994	0.210109873	0.122432445	0.067253214	0.039155814	0.023358079	0.013766597	0.009027277	0.006657617	0.006206253	0.005642048	0.007334663	0.007108981	0.005642048	0.005303525	0.004626479	0.004287957	0.004175116	0.003272388	0.003272388	0.003836593	0.012412506	0.039042973	0.094109363
EPD-A-5-10-S_S21_L003_R1_001_val_1	0	0	0	0	0	0	0.000108298	0.000216595	0.000108298	0.000649786	0.000866381	0.001516167	0.002490846	0.002165953	0.002707441	0.005631478	0.008663813	0.010829766	0.012887421	0.014620184	0.019818471	0.024150378	0.026857819	0.034113762	0.043102468	0.04949203	0.059238819	0.071151561	0.085013662	0.101041715	0.121834866	0.136021859	0.148151197	0.158439474	0.164504143	0.183023042	0.189412604	0.186271972	0.182373257	0.181723471	0.193744511	0.200134073	0.199159394	0.205007467	0.215187447	0.230890607	0.254066306	0.289804534	0.333015299	0.405358135	0.49069669	0.609282625	0.792630561	1.005435459	1.251162846	1.599881306	2.028306842	2.562214297	3.22293831	3.891134862	4.682249256	5.534551826	6.234046401	6.793187211	7.145912684	7.211541065	7.040972253	6.613629693	5.926264456	5.094863334	4.21451167	3.352787203	2.533948608	1.841818274	1.295456588	0.860966383	0.556649964	0.351209306	0.21551234	0.122917842	0.064978595	0.035305037	0.019818471	0.011262956	0.008663813	0.006714455	0.00368212	0.002382548	0.002165953	0.001732763	0.001732763	0.001191274	0.001299572	0.001082977	0.000866381	0.000649786	0.000324893	0.000108298	0.000541488	0.001082977	0.002165953
EPD-A-5-10-S_S21_L003_R2_001_val_2	0	0	0	0	0.000108251	0.000108251	0.000108251	0.000324754	0.000216502	0.000108251	0.000324754	0.000974261	0.001623769	0.002056773	0.003572291	0.004979557	0.00617032	0.008443596	0.012665394	0.017428449	0.021108991	0.025872045	0.030635099	0.036588917	0.045140764	0.052393597	0.056723647	0.068306529	0.092230051	0.10262217	0.114638057	0.134556284	0.149494954	0.163459363	0.168871925	0.180671309	0.184027097	0.187058132	0.193661457	0.194960472	0.206002098	0.214445694	0.211955916	0.210440398	0.216177714	0.231332887	0.257313183	0.292603085	0.353007273	0.427592373	0.500553705	0.623418855	0.797486839	1.011391277	1.283318377	1.640330946	2.065650043	2.579843404	3.199148712	3.927354762	4.731986183	5.49948743	6.204202962	6.795254699	7.099440666	7.149019731	6.995086476	6.535992994	5.871979926	5.083044934	4.207292453	3.309889724	2.494324929	1.825224053	1.271194238	0.852478466	0.560308386	0.351708259	0.217476729	0.126220939	0.067765272	0.037779681	0.020351232	0.013423153	0.010175616	0.006603325	0.005196059	0.005196059	0.004005296	0.004113547	0.004330049	0.003139286	0.001948522	0.001515517	0.002165025	0.002489778	0.002056773	0.002056773	0.010608621	0.037238424	0.064625987
EPD-A-5-10-S_S21_L004_R1_001_val_1	0	0	0	0	0	0	0.000110736	0.000110736	0.000332207	0.00077515	0.000885886	0.001107357	0.001882507	0.003211336	0.004207957	0.0046509	0.0062012	0.008858857	0.011737986	0.014395643	0.018049922	0.023365236	0.029787908	0.036985729	0.043629873	0.049720337	0.057804044	0.068102466	0.088034895	0.103537895	0.114832939	0.134876103	0.151597197	0.154476325	0.157023247	0.170865211	0.182603197	0.184817912	0.184374969	0.183378347	0.188139983	0.194894862	0.19157279	0.197663255	0.205525491	0.217595684	0.252255963	0.295996572	0.335750694	0.395880188	0.486683476	0.620120015	0.779690184	0.988980689	1.259618781	1.622499726	2.063560087	2.575823514	3.222077158	3.917054519	4.725093046	5.562698009	6.272624691	6.826746219	7.133594891	7.205683843	7.04312381	6.583127642	5.902656661	5.141791549	4.24538592	3.32650094	2.522781105	1.833229795	1.264158946	0.833950685	0.553235642	0.343723666	0.198549141	0.113061167	0.065334073	0.037871615	0.019268015	0.009855479	0.00697635	0.004761636	0.003986486	0.002989864	0.001661036	0.001328829	0.000885886	0.000553679	0.00077515	0.000442943	0.000110736	0.000110736	0	0	0.000332207	0.000553679	0.002768393
EPD-A-5-10-S_S21_L004_R2_001_val_2	0	0	0	0	0	0	0.000110689	0.000221379	0.000442758	0.000774826	0.000664136	0.000885515	0.001549651	0.002988613	0.004427575	0.005534469	0.007084121	0.00907653	0.011954454	0.014943067	0.01793168	0.023244771	0.030771649	0.0396268	0.043058171	0.048924708	0.06110054	0.071173274	0.087998061	0.100838029	0.108807665	0.125743141	0.145224473	0.15463307	0.16193857	0.178431288	0.189168158	0.193374355	0.195256074	0.19791262	0.204000536	0.204775361	0.203336399	0.199240892	0.207763975	0.235768389	0.265101076	0.303842361	0.358854985	0.42626482	0.509503237	0.628605015	0.795524607	1.02697611	1.285435823	1.617393287	2.04664672	2.575963357	3.222278674	3.911098714	4.692787148	5.495395875	6.232144419	6.795664075	7.090097838	7.138579789	6.96933572	6.547941233	5.878934593	5.057176602	4.166237745	3.309833977	2.529916573	1.861020623	1.298165102	0.864484093	0.56119518	0.342251577	0.206657081	0.128953133	0.074051198	0.04128714	0.024130286	0.015939271	0.012065143	0.008412393	0.006530674	0.005866537	0.004981022	0.004648954	0.004759644	0.00531309	0.004870333	0.003431371	0.003431371	0.00365275	0.00354206	0.003874128	0.0125079	0.037413012	0.088330129
EPD-A-5-11-P_S4_L001_R1_001_val_1	0	0	0	4.91E-05	0.000392727	0.000932728	0.001423637	0.001963637	0.003780002	0.008443641	0.014089098	0.021256374	0.033234562	0.049090934	0.072949128	0.103041871	0.139958253	0.186692822	0.255616494	0.325423802	0.39626202	0.495425707	0.605585763	0.718347638	0.851973161	1.012647788	1.197524246	1.390795253	1.630653557	1.887202779	2.081995605	2.280470252	2.486308538	2.624499518	2.719686839	2.796710515	2.760530496	2.617086787	2.459308525	2.271093883	2.015330117	1.731829973	1.454269831	1.208078797	0.983733228	0.781871307	0.637887597	0.533569363	0.447807501	0.403969297	0.400091113	0.435976586	0.513245716	0.608923946	0.750649473	0.958451397	1.190651515	1.476360752	1.831877296	2.225537497	2.644086801	3.05816883	3.460076307	3.779118288	3.947647464	3.962620199	3.853736507	3.638767307	3.271223484	2.795286878	2.318024816	1.826379112	1.377295247	1.012451425	0.710836726	0.478832971	0.305149246	0.188312823	0.113596421	0.067107307	0.037898201	0.021109102	0.010603642	0.005547276	0.004270911	0.003190911	0.002503638	0.001963637	0.001472728	0.000932728	0.000785455	0.000589091	0.000196364	0.000441818	0.00054	0.001914546	0.002356365	0.000785455	0.000245455	0.000294546	0.001080001
EPD-A-5-11-P_S4_L001_R2_001_val_2	9.81E-05	9.81E-05	4.91E-05	0.000196253	0.000735947	0.001422832	0.002060653	0.002698474	0.006034769	0.011284528	0.016730539	0.02512034	0.037091752	0.053675101	0.076587598	0.108527717	0.146502606	0.193210738	0.257679734	0.322295921	0.400355414	0.497500477	0.603869415	0.714801228	0.843837348	1.015116851	1.191793303	1.389223472	1.620310972	1.865970231	2.090188888	2.282516489	2.485294543	2.627970223	2.71819738	2.787474567	2.760587953	2.632680286	2.477689753	2.281878668	2.007811837	1.728200869	1.467233902	1.220348064	0.991664659	0.78339153	0.633503566	0.535671618	0.460359662	0.421796016	0.415319678	0.445689777	0.52080548	0.626045965	0.769065087	0.966495256	1.206806631	1.488772631	1.827357522	2.229381083	2.653777447	3.062915166	3.44791381	3.742538106	3.89056167	3.908911293	3.812649367	3.579010582	3.206375856	2.771921544	2.308618092	1.833441354	1.391921946	0.998631628	0.689975267	0.471742316	0.310717014	0.194241064	0.121480393	0.072417229	0.039790226	0.022421866	0.01256017	0.007506664	0.005446011	0.004072243	0.003385358	0.002600348	0.002502221	0.002551284	0.002404095	0.002698474	0.002502221	0.002109716	0.001717211	0.001471895	0.001422832	0.002060653	0.010499517	0.037974888	0.06746185
EPD-A-5-11-P_S4_L002_R1_001_val_1	0	5.01E-05	0.000100297	0.000100297	0.000300892	0.000651933	0.001253718	0.002256692	0.00506502	0.009227364	0.014643425	0.022115584	0.030991906	0.046186967	0.070609392	0.104760668	0.141720271	0.18514906	0.251194919	0.323709962	0.404048205	0.49015355	0.582276742	0.693005107	0.830262142	1.001369561	1.189778288	1.396340849	1.634095911	1.883385179	2.105042504	2.295958665	2.467366977	2.610240669	2.715352377	2.790776046	2.769864032	2.640229601	2.475992556	2.267524343	1.995166667	1.709469432	1.445235847	1.201613384	0.98657569	0.792650605	0.63779137	0.528517318	0.444267475	0.399233928	0.401390323	0.432632973	0.508307386	0.615675787	0.749823602	0.944200025	1.183860739	1.483850358	1.831882447	2.23327277	2.674782066	3.093373399	3.47530602	3.758044481	3.94635291	3.977746006	3.851772431	3.609704579	3.236798727	2.817705907	2.345204705	1.855151452	1.401405869	1.016414176	0.716073516	0.474055813	0.308264157	0.192972259	0.111982083	0.066998685	0.036809158	0.020260081	0.010982569	0.006067995	0.004513384	0.002457287	0.001654908	0.001755205	0.000952826	0.000501487	0.000902677	0.000802379	0.000651933	0.000501487	0.000351041	0.000250744	5.01E-05	5.01E-05	0.000150446	0.000351041	0.001303867
EPD-A-5-11-P_S4_L002_R2_001_val_2	0	5.01E-05	0.000100261	0.000200523	0.00080209	0.00160418	0.002306009	0.003007838	0.00471228	0.010677826	0.016643373	0.022207874	0.032735308	0.052336389	0.078855497	0.106878525	0.142922456	0.191950222	0.254914307	0.321086752	0.400142772	0.493636417	0.594549396	0.705739156	0.841292408	1.014493771	1.186491998	1.382603064	1.631902739	1.867316226	2.068139572	2.259889271	2.462667712	2.605088862	2.695023231	2.781298063	2.780094927	2.659179823	2.476202985	2.256731041	1.998157198	1.724293509	1.446670022	1.201330668	0.996196087	0.807053181	0.651698326	0.540759219	0.459046275	0.421949601	0.416585622	0.448819624	0.523263625	0.628086794	0.7725633	0.96040281	1.189499837	1.469579725	1.826660277	2.221489201	2.63937822	3.083285041	3.461971899	3.743956751	3.917509029	3.91525315	3.807873318	3.578325115	3.214226274	2.799946661	2.315283629	1.828414849	1.391275664	1.014092726	0.703433147	0.4672677	0.312213629	0.198417075	0.117957397	0.069581329	0.040054382	0.022007351	0.013485142	0.009073646	0.006817767	0.005714893	0.00466215	0.004010451	0.003559275	0.003960321	0.00391019	0.003609406	0.003007838	0.001955095	0.0031081	0.004160843	0.004311235	0.004361366	0.016041805	0.047473717	0.104472255
