EPD_P_A_5-10	EPD_P_A_5-11	EPD_P_A_5-12	EPD_P_A_5-13	EPD_P_A_5-8	EPD_P_A_5-9	EPD_P_B_5-10	EPD_P_B_5-11	EPD_P_B_5-12	EPD_P_B_5-13	EPD_P_B_5-8	EPD_P_B_5-9	EPD_P_C_5-10	EPD_P_C_5-11	EPD_P_C_5-12	EPD_P_C_5-13	EPD_P_C_5-8	EPD_P_C_5-9	EPD_S_A_5-10	EPD_S_A_5-11	EPD_S_A_5-13	EPD_S_A_5-8	EPD_S_A_5-9	EPD_S_B_5-10	EPD_S_B_5-11	EPD_S_B_5-12	EPD_S_B_5-13	EPD_S_B_5-8	EPD_S_B_5-9	EPD_S_C_5-10	EPD_S_C_5-11	EPD_S_C_5-12	EPD_S_C_5-13	EPD_S_C_5-8	EPD_S_C_5-9	
CAF30909	12.24693382	0	20.10890369	18.50884887	0	0	18.81510506	13.03224871	0	11.43301187	0	7.690635144	3.737313584	7.318248421	12.1310261	16.71927015	0	0	21.2067983	8.324892369	10.58882733	0	11.07291941	33.84241983	0	11.44144993	0	0	11.96713194	0	32.23981395	10.40231593	0	0	13.90701558
CAF30910	55.66246968	22.11255653	35.08608947	93.40680911	5.253834792	42.17295702	39.65133321	18.54792365	18.33125387	49.76378637	37.56716452	53.41551263	54.50609954	100.8567633	18.96139001	74.14641754	9.661563567	66.10049644	87.03164833	63.2815835	66.31879311	0	61.72599659	97.12920276	37.7612758	12.96210834	58.74810014	11.51390331	13.69659171	54.55275908	21.28866043	35.02447238	38.14075294	0	85.00736966
CAF30911	38.5133362	67.61260729	65.17286972	60.68424122	12.36057777	25.80507366	29.47018817	29.83957897	31.91644848	0	0	29.44001726	36.466503	76.77812972	160.8364029	103.7249829	55.37189394	35.71112399	17.05032026	25.48683628	15.55239171	0	0	20.33001674	47.49439801	43.45938471	43.60887998	0	50.31958028	0	54.34888193	0	89.56715242	0	146.9355639
CAF30912	26.42814779	33.45481638	13.97849725	10.9776121	7.549403208	23.58115622	7.709484136	16.86582222	13.11909946	28.87221348	6.449634085	31.5663124	13.82930616	59.147561	24.75274535	29.23533599	13.69999535	21.17595086	34.83505751	52.01762905	25.86220751	0	16.55751724	24.353417	35.66980803	15.69468497	88.68420829	0	0	53.43913498	27.72842123	14.14678508	12.32787236	53.95394718	0
CAF30913	54.16083907	0	0	0	0	0	0	0	0	0	0	0	0	207.7389677	0	0	0	0	93.3545709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAF30914	539.8811968	758.5378151	802.3298107	791.1855858	274.100655	449.3941393	535.1707311	617.1814022	508.0213204	572.532318	378.6970919	424.9159411	702.0406996	619.2091316	1199.426097	900.5136962	135.8907144	558.437162	486.3430956	559.8461887	617.2171116	0	518.3121434	324.0230233	501.4638878	400.6661981	685.5396074	98.14128677	215.062341	551.2978727	486.4236054	467.046607	789.7545364	895.4943806	259.7657371
CAF30915	609.7619981	562.5716815	699.9562896	676.5469155	370.954377	524.8444714	626.8517555	603.7105257	556.9785747	515.378493	470.9865527	596.5373745	691.0940969	629.1176699	652.4194046	830.5254845	436.3532195	617.2108188	431.5655816	399.9891021	544.1221588	335.9998197	607.0741542	341.6752053	488.7450896	606.2495564	393.8037632	397.6791661	590.5024739	287.4447047	416.1609015	459.2342284	482.8811402	343.9229038	555.3438407
CAF30916	481.5450381	910.2010234	1028.113743	545.871362	1655.48298	1396.646054	771.8292615	420.925407	579.0007436	2213.38056	1893.005519	977.5850083	1193.167001	1855.63528	422.4948811	451.0267151	1609.128365	1160.57045	1107.656806	908.7276425	1965.342638	1964.118228	2341.520673	1028.649537	1105.236766	3742.008878	1484.998931	764.0511744	2673.122996	1444.249621	1163.530595	1679.783364	1999.629047	887.2363198	876.8510907
CAF30917	304.1756832	228.544478	355.7307482	293.3725725	381.9593898	282.7607736	281.3466047	194.6661214	408.8718144	588.4736032	485.811758	257.367578	274.6150471	307.4868882	287.1549639	148.7404445	301.8091162	280.8281475	414.1022072	419.4452515	375.3633427	87.77775643	416.7019283	426.199133	475.8051961	539.4751529	540.9584041	611.2057243	672.7682917	308.8714078	399.4869623	393.3353145	406.3241475	528.1601526	496.8361078
CAF30918	345.1870204	326.3536529	367.7612341	275.5374529	431.6724155	336.0615256	335.809656	377.0920956	448.4294732	431.3236157	495.5870948	370.6472016	336.0134004	392.9899308	400.3571618	220.422172	366.8646074	298.2687222	459.1367726	455.6795083	402.8249434	271.2657482	389.6114187	463.1329197	402.6220408	392.4530978	528.5750024	399.90374	488.23751	407.7938938	459.5029988	441.3866705	400.4949602	594.8820166	439.6601716
