EPD_P_A_5-10	EPD_P_A_5-11	EPD_P_A_5-12	EPD_P_A_5-13	EPD_P_A_5-8	EPD_P_A_5-9	EPD_P_B_5-10	EPD_P_B_5-11	EPD_P_B_5-12	EPD_P_B_5-13	EPD_P_B_5-8	EPD_P_B_5-9	EPD_P_C_5-10	EPD_P_C_5-11	EPD_P_C_5-12	EPD_P_C_5-13	EPD_P_C_5-8	EPD_P_C_5-9	EPD_S_A_5-10	EPD_S_A_5-11	EPD_S_A_5-13	EPD_S_A_5-8	EPD_S_A_5-9	EPD_S_B_5-10	EPD_S_B_5-11	EPD_S_B_5-12	EPD_S_B_5-13	EPD_S_B_5-8	EPD_S_B_5-9	EPD_S_C_5-10	EPD_S_C_5-11	EPD_S_C_5-12	EPD_S_C_5-13	EPD_S_C_5-8	EPD_S_C_5-9	
AAS97241	97.33575659	78.27546508	57.2983427	125.1460115	35.09085761	110.8702982	43.24557614	116.9449281	103.285464	101.0837173	26.73049466	122.5667389	65.07628528	99.30483533	84.13390244	158.1155716	75.48251058	101.9916811	62.47272164	59.5966199	82.56188135	77.8191687	75.80531945	53.0425266	112.819553	145.3414042	86.59873716	59.69354183	77.61490493	114.5166757	85.62742616	75.35895641	59.99576783	65.78842087	83.7787178
AAS97242	1730.413062	2188.911762	1380.593448	1093.92896	1347.514925	1885.667057	1074.387338	1736.81115	1569.739819	1610.507549	2021.630942	1495.398968	2610.048223	1757.213927	1607.662927	863.3722718	1599.732007	2044.58601	1226.249606	977.9403259	1009.327044	1265.608476	1134.269291	1212.531446	1332.023137	1084.968424	1174.555756	1677.076807	1431.785522	1052.690898	1123.109253	1533.341698	1297.67513	1335.203027	1267.177545
AAS97243	439.7143339	443.7104183	711.3572766	437.2566253	587.2398598	363.675026	258.6154696	596.4101223	558.6811069	544.1586007	951.8609851	446.0275399	461.2516904	388.5079176	285.9179996	458.8525625	855.8665187	430.8643176	238.9278435	255.2355404	275.4062379	500.3317817	246.9185368	299.9888111	307.5315565	336.5674114	316.9388118	624.0020202	341.4115806	320.915672	288.4090598	344.9192084	419.9589153	282.7182619	322.2292702
AAS97244	3.862064109	28.03953405	17.73119135	0	8.022497763	24.09208236	0	0	16.07969957	19.47588909	6.987575608	22.75195028	0	18.24335414	0	0	5.593252192	8.246044055	9.305618756	4.458941056	14.78698381	9.467821033	12.93553136	15.74903969	9.471310051	14.04823828	7.362714647	3.766212135	7.982744205	13.88371334	13.62980942	16.27707145	9.664665402	21.74292017	8.496632782
AAS97245	39.15608095	0	15.59362897	11.23633472	18.13129345	0	42.97553985	0	0	26.43289487	32.01592566	15.89879807	26.97506449	25.68304081	23.80417786	0	15.49835405	0	15.5689057	10.53639376	8.402405007	39.11492065	17.00173442	10.19144912	13.8162108	24.13987199	14.86268254	21.0104211	10.31423244	17.54968174	17.51880771	4.5189561	13.8720449	20.54475528	20.37613128
AAS97246	742.9100599	659.6014463	421.9517421	582.5457772	921.7163242	851.3241594	570.5022121	644.5949364	298.4435461	639.030558	1055.68437	716.751146	820.1364219	503.6616273	853.6281783	94.54215015	1145.422519	719.55903	889.9297803	683.8626738	656.0134841	785.3417301	795.8445408	882.3397681	753.0154905	824.4247257	592.342117	783.8057298	1014.912661	805.1886265	641.8195682	665.1972612	710.0134464	551.0358452	922.8713111
AAS97247	69.83875281	0	0	0	0	0	0	0	0	0	0	0	280.0502211	0	0	0	0	0	13.56580011	30.81313604	0	63.25116333	0	14.5297163	24.38342988	0	25.40543057	55.09905857	0	14.07328088	44.97696272	15.51110677	33.7953003	37.40037533	14.2844352
AAS97248	95022.09302	51991.90202	50109.34966	52963.22535	78061.94913	77773.69714	75786.45207	48744.81949	29436.31859	43972.4849	110028.107	78589.64958	70541.98009	42617.9032	53441.3926	53448.53314	107973.4137	70704.73305	58961.78901	55909.89277	45779.32727	72120.43188	58446.86298	83427.56342	53052.10952	34397.78438	27010.64679	83648.21371	58397.09317	69034.3908	51061.02065	51762.90031	40234.36304	73011.02704	73702.72006
AAS97249	150.2514005	0	0	235.3752191	0	95.74349458	99.41777537	0	57.52721375	84.63357274	0	0	0	166.5649332	0	0	64.50278804	0	58.53216338	99.61343495	85.45729758	0	20.33207933	93.99496706	39.40250219	51.16129848	54.80186308	8.886951149	46.27918027	45.40656505	69.15826984	49.8204553	72.79876904	67.00620034	76.91951799
AAS97250	2358.661782	1568.88124	878.9341797	896.2494611	313.0787583	815.3728753	662.1731039	1010.384623	874.5504679	2256.880035	651.5127144	708.5943708	2149.474789	1316.651461	1354.606709	969.6501352	604.4110741	904.4508908	917.733052	583.810065	635.9091755	268.0337406	947.3026104	774.3458635	985.771949	559.4974416	286.5952425	376.3006843	527.7243061	691.9249192	762.0767228	745.2977241	692.5571576	446.8598214	732.038489
